Mineral,State,Category,Quantity_Tonnes,Description
Copper,Madhya Pradesh,Production,2480000,Major Producer (Malanjkhand Mine)
Copper,Rajasthan,Production,1150000,Khetri Copper Belt
Copper,Jharkhand,Production,12000,Ghatsila (HCL)
Graphite,Odisha,Production,4200,Principal Producer (Ganja/Rayagada)
Graphite,Tamil Nadu,Production,2100,Sivaganga District
Graphite,Jharkhand,Production,1500,Palamau District
Lithium,Jammu & Kashmir,Reserves,5900000,Inferred Resources (G3) - Salal-Haimana
Lithium,Karnataka,Reserves,1600,Volcanic Rock - Mandya District
Lithium,Chhattisgarh,Reserves,0,Exploration Ongoing (Katghora)
Cobalt,Odisha,Reserves,0,Latent resource in Sukinda Valley
